CFU;Type;Concept;Context;;;;;;;;;;;;;;;;;;;;;;;
ace;simplex;expert;He's been our ace, the guy we've looked to for big games and big results and we have a lot of confidence in him.;;;;;;;;;;;;;;;;;;;;;;;
anchor;simplex;support;The emotional anchor of the Penn State defense, Mauti was having a standout season before getting hurt.;;;;;;;;;;;;;;;;;;;;;;;
angel;simplex;kind person;She is an angel of a woman and she deserves to be treated fairly.;;;;;;;;;;;;;;;;;;;;;;;
beacon;simplex;source of guidance;Highly regarded by his peers and audiences alike, he is considered one of Canada's most naturalistic actors and a beacon in the industry.;;;;;;;;;;;;;;;;;;;;;;;
(to) blacken;simplex;to discredit;His wife's reputation was deliberately blackened.;;;;;;;;;;;;;;;;;;;;;;;
(to) bloom;simplex;to prosper;Shopify launched more than a decade ago as an online snowboard shop and has since bloomed into a global e-commerce platform used by more than one million merchants.;;;;;;;;;;;;;;;;;;;;;;;
bread;simplex;livelihood;"She called him a kid, but she was not really a month older than he was—only she had had to work for her bread, and that so soon makes people older.";;;;;;;;;;;;;;;;;;;;;;;
breeze;simplex;easy activity;If your team members agree to cooperate, the project will likely be a breeze.;;;;;;;;;;;;;;;;;;;;;;;
chameleon;simplex;person with inconsistent behavior;He's just a political chameleon spouting whatever feel good stuff people want to hear in order to get elected.;;;;;;;;;;;;;;;;;;;;;;;
chicken;simplex;coward;Declan was ready to give up until Josh called him a chicken.;;;;;;;;;;;;;;;;;;;;;;;
(to) cloud;simplex;to confuse;Some recovering alcoholics are no longer drinking, but their thinking is clouded.;;;;;;;;;;;;;;;;;;;;;;;
clown;simplex;idiot;He is a clown who's never accomplished anything in his life.;;;;;;;;;;;;;;;;;;;;;;;
cross;simplex;hardship;What makes a mother endure the cross of nine months of pregnancy, labor, wakeful nights, changing diapers, and all the worries of caring for a baby?;;;;;;;;;;;;;;;;;;;;;;;
(to) crow;simplex;brag;Portland crowed to the media that all of its rail transit was reducing driving and greenhouse gas emissions.;;;;;;;;;;;;;;;;;;;;;;;
dinosaur;simplex;obsolete;"No, I don't have a smart phone, I am quite content with my dinosaur flip-phone model.";;;;;;;;;;;;;;;;;;;;;;;
(to) drown;simplex;to overwhelm;You may be half-way through your project and drowning under material, or you may simply want the encouragement to allow you to begin.;;;;;;;;;;;;;;;;;;;;;;;
(to) fuel;simplex;to stimulate;Our status quo spending level is proving insufficient to fuel our economy over the long-run.;;;;;;;;;;;;;;;;;;;;;;;
mountain;simplex;large amount;Wouldn't it be nice to reduce or eliminate some of this mountain of paper, and go paperless?;;;;;;;;;;;;;;;;;;;;;;;
pig;simplex;contemptible;He's got a crappy job where his boss is a pig and everyone just tries to please him.;;;;;;;;;;;;;;;;;;;;;;;
shady;simplex;dishonest;We expect shady salesmen to sometimes swindle us, but we don't expect that of public servants who are supposed to carefully manage our hard-earned tax dollars.;;;;;;;;;;;;;;;;;;;;;;;
sheep;simplex;easily influenced;They will say whatever you, the sheep, want to hear to get your vote.;;;;;;;;;;;;;;;;;;;;;;;
(to) shoulder;simplex;to accept responsibility for;Sometimes, I feel as if you shoulder too much of the burden.;;;;;;;;;;;;;;;;;;;;;;;
snaky;simplex;twisting;The water was mostly deep green, with paler snaky patterns caused by the current.;;;;;;;;;;;;;;;;;;;;;;;
spark;simplex;to cause;He made several statements which seemed intended to spark angry responses.;;;;;;;;;;;;;;;;;;;;;;;
thorny;simplex;controversial;Abortion is an extremely thorny issue.;;;;;;;;;;;;;;;;;;;;;;;
toady;simplex;flatterer;Unable to tolerate criticism, he increasingly surrounds himself with flatterers and toadies.;;;;;;;;;;;;;;;;;;;;;;;
viper;simplex;malicious;By your own words you have shown that you are a viper.;;;;;;;;;;;;;;;;;;;;;;;
vulture;simplex;opportunist;Doctors' jobs are hard enough without these vulture lawyers.;;;;;;;;;;;;;;;;;;;;;;;
