CFU;Tipo;Concepto;Contexto
as;palabra simple;experto, -a;Si no eres un as del diseño, no hagas alardes creativos al montar la plantilla.
ancla;palabra simple;apoyo;A veces una o varias de estas parejas sirven de ancla para la venida de personas solas, mujeres con hijos, parientes que prueban suerte, etc.
ángel;palabra simple;buena persona;Volvería a verla como de verdad era: dulce, calmada, confiable, un ángel.
faro;palabra simple;guía;Nunca hubiera imaginado estar en este sitio, en este lugar donde está la mayoría de editores que respeto y que han sido un faro en mi trabajo.
manchar;palabra simple;desprestigiar;¿Por qué manchaste el buen nombre de tu madre?
florecer;palabra simple;prosperar;Algunos países de Asia tienen mayor número relativo de servidores de comercio electrónico que otros europeos, por lo que también florecen mejor en ellos los infomediarios.
pan;palabra simple;sustento;Trabajaba como albañil y llevaba el pan a su hogar; lamentablemente, una lesión provocada en el trabajo le lastimó seriamente la columna, lo cual le impide salir a trabajar.
paseo;palabra simple;fácil de hacer;Por eso el aprendizaje no es un paseo, ni tan siquiera una actividad divertida.
camaleón;palabra simple;persona con un comportamiento inconsistente;Saben muy bien que es un hombre sin principios, un camaleón político.
gallina;palabra simple;cobarde;Javier tiene que ir al dentista porque le duele mucho una muela, pero no quiere ir porque es un gallina.
nublar;palabra simple;confundir;El solo hecho de pensar en lo que podría haber pasado me nubló la mente y no me pude controlar.
payaso, -a;palabra simple;idiota;No tenía maldita idea de lo que podía estar haciendo aquel excéntrico payaso, aparte de arruinar su carrera.
cruz;palabra simple;sufrimiento moral;Qué cruz es tener un hijo adolescente.
cacarear;palabra simple;presumir;La amplia lista de derrotas inglesas cuestiona también la cacareada superioridad de la flota británica.
dinosaurio, -a;palabra simple;anticuado, -a;Mi mujer es una dinosauria de otro tiempo.
ahogar;palabra simple;agobiar;Tiene un piso nuevo en Madrid y quiere deshacerse del viejo para no verse ahogada por la hipoteca.
alimentar;palabra simple;estimular;Si no se alimenta la propia industria perderemos puestos de trabajo y clientes para nuestros productos.
montaña;palabra simple;gran cantidad;Una montaña de notas informativas soterró su mesa de trabajo.
cerdo, -a;palabra simple;asqueroso, -a;Su cliente es un cerdo asqueroso y se merece lo que sea que puedan hacer los otros con la información que ella consiga.
turbio, -a;palabra simple;deshonesto, -a;A sus turbios trabajos de delator deben añadirse los de traficante, estafador y ladrón profesional.
borrego, -a;palabra simple;influenciable;Quien repite las cosas que dicen los demás sin pararse a pensar en lo que dice es un borrego.
cargar;palabra simple;aceptar la responsabilidad por/de;Cometiste un error en el trabajo y dejaste que otro cargara con la culpa.
serpenteante;palabra simple;curvilíneo, -a;El colegio de San Gabriel se alzaba en el centro de una arboleda a lo alto de una calle angosta y serpenteante.
desatar;palabra simple;causar;Esta semana, la revista recoge un trabajo que puede desatar cierta controversia entre los especialistas sanitarios.
espinoso, -a;palabra simple;controvertido, -a;Una amiga mía, Ana, me explicaba un día un diálogo que tuvo en su trabajo sobre el espinoso tema de los maltratadores machistas.
pelota;palabra simple;adulador, -a;Decir que ha llegado a lo más alto por ser un pelota sería injusto.
víbora;palabra simple;malintencionado, -a;Esa víbora es capaz de denunciarme y dejarme sin trabajo, aunque con ello se perjudicara.
buitre;palabra simple;aprovechado, -a;Hay mucho técnico buitre que está esperando a que destituyan a un colega para ocupar su cargo.
tejer;palabra simple;idear;La prensa también ha especulado con que ambos países tejieron un plan conjunto para acabar con la vida del terrorista.
